"event_id","event_name","event_url","locale","current_date"
"1A4Zk7kGkd44dis","Chris Webby","https://www.ticketmaster.com/chris-webby-baltimore-maryland-10-16-2024/event/15006106D5543B31","en-us","2024-10-16"
"17A8vOG61XDFAEA","A Boogie Wit Da Hoodie: Better Off Alone Tour","https://concerts.livenation.com/a-boogie-wit-da-hoodie-better-baltimore-maryland-10-16-2024/event/150060AFBB2059C5","en-us","2024-10-16"
"G5eVZb2UOpUx_","That Mexican OT","https://www.ticketmaster.com/that-mexican-ot-greensboro-north-carolina-10-16-2024/event/2D0060FDA05B6899","en-us","2024-10-16"
"vvG1jZb1x0OsS9","Sueco - Attempted Lover Tour","https://www.ticketmaster.com/sueco-attempted-lover-tour-madison-wisconsin-10-16-2024/event/070060A8A4831CD7","en-us","2024-10-16"
"k7vGFb3U1xvN4","Citi Sound Vault presents Jack Harlow","https://concerts.livenation.com/citi-sound-vault-presents-jack-harlow-brooklyn-new-york-10-17-2024/event/0000612D8A8818D5","en-us","2024-10-16"
"vv1kv8v-v9GAu_-kr","Jeezy: Playlist Concert","https://concerts.livenation.com/jeezy-playlist-concert-cleveland-ohio-10-17-2024/event/050061057D66119E","en-us","2024-10-16"
"17A8vOG6GC3psjy","Homixide Gang - 5 ACTIVITY - MOVED TO UNION STAGE","https://concerts.livenation.com/homixide-gang-5-activity-moved-to-silver-spring-maryland-10-17-2024/event/150060C3925B1739","en-us","2024-10-16"
"1A4Zk7eGkdF2kRs","Bryson Tiller","https://www.ticketmaster.com/bryson-tiller-national-harbor-maryland-10-17-2024/event/15006102C83C6BF1","en-us","2024-10-16"
"k7vGFbKKcmzUt","che: Sayso says Bleed Tour","https://www.ticketmaster.com/che-sayso-says-bleed-tour-new-york-new-york-10-18-2024/event/00006134EDBB8DA9","en-us","2024-10-16"
"17GZvOG6227TegY","Czarface","https://www.ticketmaster.com/czarface-albany-new-york-10-18-2024/event/300060F3C4FC2D70","en-us","2024-10-16"
"k7vGFb3lFng8H","Just A Little Homecoming Weekend - Friday","https://www.ticketmaster.com/just-a-little-homecoming-weekend-friday-albany-new-york-10-18-2024/event/0000612AC8AB543C","en-us","2024-10-16"
"G5eVZbaURbVFG","Little Stranger","https://concerts.livenation.com/little-stranger-charlotte-north-carolina-10-18-2024/event/2D00609DAF63420C","en-us","2024-10-16"
"vvG10ZbC2BJJWt","Marc E. Bassy & Skizzy Mars Present: Folk Heroes North America 2024","https://concerts.livenation.com/marc-e-bassy-skizzy-mars-present-anaheim-california-10-18-2024/event/090060E3FA9A6F69","en-us","2024-10-16"
"1AvfZbaGkn95xix","Little Stranger","https://www.ticketmaster.com/little-stranger-washington-district-of-columbia-10-19-2024/event/1500609A972E2B22","en-us","2024-10-16"
